Nutrient,Boiling,Steaming,Sautéing,Roasting,Frying,Notes
Vitamin C,50,80,75,60,40,Water-soluble and heat-sensitive
Vitamin A,95,98,90,85,80,Stable with heat
Folate,55,75,70,65,50,Water-soluble and heat-sensitive
Potassium,80,95,90,95,85,Some leaching in water
Calcium,90,95,95,95,90,Relatively stable
Iron,95,98,95,95,90,Very stable mineral
Protein,100,100,100,100,95,Stable macronutrient
Fiber,100,100,100,100,100,Very stable
Fat,100,100,100,100,95,Stable with some oxidation at high heat
Carbohydrates,100,100,100,100,95,Stable with some caramelization
Antioxidants,60,80,70,75,50,Heat-sensitive compounds
B Vitamins,60,75,70,65,55,Water-soluble and heat-sensitive
